nome;endereco;cep
MegaStore Shopping;Rua Direita, 4532, Industrial, Salvador - BA;96088-292
Loja Shopping;Rua Marechal Floriano, 664, Industrial, Belo Horizonte - MG;94718-480
Unidade Centro;Av. Goiás, 3547, Boa Vista, São Paulo - SP;96021-880
Loja Outlet;Rua Primeiro de Maio, 4332, Jardim Europa, Rio de Janeiro - RJ;89454-431
Unidade Outlet;Av. João Pessoa, 4134, Industrial, Belo Horizonte - MG;91955-239
Filial Shopping;Praça da Sé, 1490, Jardim América, Belo Horizonte - MG;44437-275
Filial Express;Av. João Pessoa, 4069, Jardim América, Salvador - BA;60696-715
Filial Express;Av. Paulista, 3360, Cidade Nova, Curitiba - PR;67263-526
Loja Express;Av. Brasil, 265, Vila Rica, Rio de Janeiro - RJ;74715-351
MegaStore Shopping;Rua Primeiro de Maio, 4913, Industrial, Porto Alegre - RS;12239-546
Filial Express;Av. Paulista, 2141, Jardim América, Rio de Janeiro - RJ;25833-530
Unidade Shopping;Rua Direita, 2037, Santa Mônica, Porto Alegre - RS;12184-133
MegaStore Premium;Rua Marechal Floriano, 2237, Estoril, Salvador - BA;48333-446
Filial Outlet;Rua José Bonifácio, 4827, Centro, São Paulo - SP;87114-549
Filial Express;Av. da Praia, 4425, Cidade Nova, São Paulo - SP;85287-158
Ponto de Venda Outlet;Rua Marechal Floriano, 3266, Vila Rica, Rio de Janeiro - RJ;28998-401
Filial Outlet;Av. Brasil, 4363, São Cristóvão, Curitiba - PR;79704-384
Filial Shopping;Rua Primeiro de Maio, 584, Centro, Curitiba - PR;96845-846
MegaStore Express;Av. Paulista, 4736, Cidade Nova, Salvador - BA;86467-840
Unidade Premium;Av. Paulista, 2636, Jardim Europa, Salvador - BA;66695-793
Filial Shopping;Av. Paulista, 4485, Vila Rica, Rio de Janeiro - RJ;52118-520
Ponto de Venda Centro;Rua Direita, 200, Jardim Europa, Curitiba - PR;80016-948
Unidade Express;Praça da Sé, 2215, São Cristóvão, Curitiba - PR;75665-892
